best_eval_accuracy = 0.6077051926298157
eval_accuracy = 0.6077051926298157
eval_loss = 0.9720018356241644
global_step = 500
loss = 0.2359935531616211
0	1	1	[-1.88   -0.7607 -1.277  -1.508 ]
1	0	2	[-1.114  -3.125   0.2368 -2.045 ]
2	0	0	[ 0.981  -2.863  -1.122   0.3875]
3	3	3	[-1.122   0.3875 -2.863   1.278 ]
4	1	1	[-1.177   1.986  -1.9375 -2.275 ]
5	0	3	[-2.275  -1.9375 -1.773  -1.177 ]
6	0	0	[-2.135 -5.02  -4.98  -4.184]
7	0	0	[-1.037 -3.426 -1.59  -1.441]
8	3	3	[-1.715  -0.7114  1.87    3.285 ]
9	0	2	[-2.197    0.01872  0.361   -3.102  ]
10	3	2	[-3.102    0.01872  0.361   -1.794  ]
11	2	2	[-2.18   -0.4944  1.373  -2.64  ]
12	0	0	[ 1.168  -0.7603 -1.088  -1.1875]
13	3	0	[ 0.57   0.11  -1.961 -0.442]
14	0	1	[-1.1045 -0.0935 -1.753  -2.258 ]
15	3	0	[-0.0935 -1.753  -1.783  -2.258 ]
16	3	3	[ 0.6963 -1.834   1.078   3.006 ]
17	1	2	[-4.723 -2.756 -1.585 -3.766]
18	1	1	[-3.771  0.859 -1.615 -4.453]
19	2	2	[-2.197 -2.346 -1.839 -3.848]
20	0	2	[-0.8936 -2.271   0.1492 -2.244 ]
21	1	2	[0.1493 1.652  3.184  1.154 ]
22	0	3	[-0.00628 -1.611   -0.677    0.627  ]
23	3	1	[-0.677  0.627 -1.611 -2.152]
24	1	1	[-6.242 -3.031 -4.887 -4.832]
25	2	2	[2.281   0.10114 3.28    0.10583]
26	3	3	[-1.526  -0.7583  0.4229  0.646 ]
27	2	2	[-3.441 -2.033  1.031 -2.24 ]
28	3	3	[-3.924 -2.168 -3.098  3.938]
29	3	3	[ 2.006  -0.8853  1.811   3.395 ]
30	3	3	[-4.41  -2.549 -2.43  -2.115]
31	1	2	[-3.914 -2.395 -2.012 -2.098]
