best_eval_accuracy = 0.27638190954773867
eval_accuracy = 0.27638190954773867
eval_loss = 1.3852774064171123
global_step = 750
loss = 0.35004044596354167
0	1	0	[1.614 1.599 1.613 1.589]
1	0	1	[1.604 1.606 1.602 1.59 ]
2	0	0	[1.587 1.587 1.582 1.587]
3	3	3	[1.582 1.587 1.587 1.589]
4	1	1	[1.584  1.6045 1.584  1.584 ]
5	0	0	[1.584 1.584 1.584 1.584]
6	0	3	[1.577 1.582 1.589 1.592]
7	0	2	[1.597 1.596 1.599 1.592]
8	3	2	[1.6   1.598 1.603 1.595]
9	0	3	[1.575 1.575 1.574 1.587]
10	3	0	[1.587 1.575 1.574 1.58 ]
11	2	0	[1.583 1.58  1.578 1.583]
12	0	3	[1.595 1.582 1.584 1.6  ]
13	3	3	[1.6   1.611 1.582 1.618]
14	0	2	[1.604 1.605 1.614 1.585]
15	3	1	[1.605 1.614 1.604 1.585]
16	3	0	[1.602 1.582 1.594 1.6  ]
17	1	2	[1.59  1.59  1.606 1.595]
18	1	0	[1.586 1.577 1.566 1.578]
19	2	0	[1.596 1.587 1.591 1.592]
20	0	0	[1.604 1.575 1.593 1.577]
21	1	1	[1.588 1.609 1.584 1.593]
22	0	2	[1.583 1.581 1.591 1.586]
23	3	0	[1.591 1.586 1.581 1.591]
24	1	2	[1.592 1.586 1.616 1.611]
25	2	3	[1.595 1.593 1.595 1.606]
26	3	3	[1.576 1.581 1.576 1.583]
27	2	3	[1.587 1.58  1.578 1.589]
28	3	2	[1.582 1.579 1.592 1.587]
29	3	2	[1.588 1.588 1.617 1.593]
30	3	0	[1.59  1.585 1.58  1.573]
31	1	1	[1.585 1.591 1.591 1.588]
32	0	0	[1.612 1.601 1.589 1.597]
33	2	0	[1.597 1.573 1.59  1.597]
34	3	1	[1.591 1.594 1.59  1.589]
35	3	1	[1.594 1.615 1.582 1.601]
36	0	2	[1.585 1.585 1.59  1.59 ]
37	0	0	[1.588 1.585 1.581 1.587]
38	0	3	[1.581 1.581 1.585 1.587]
39	3	3	[1.593 1.598 1.591 1.626]
40	2	0	[1.601 1.591 1.592 1.591]
41	0	0	[1.603 1.596 1.581 1.596]
42	1	0	[1.597 1.586 1.592 1.581]
43	2	2	[1.587 1.587 1.601 1.598]
44	1	2	[1.568 1.571 1.582 1.571]
45	1	3	[1.568 1.571 1.571 1.582]
46	1	0	[1.598 1.586 1.591 1.586]
47	2	1	[1.584 1.596 1.591 1.584]
48	3	3	[1.593 1.581 1.593 1.607]
49	0	2	[1.588 1.588 1.615 1.586]
50	1	3	[1.59  1.59  1.585 1.592]
51	0	0	[1.595 1.59  1.585 1.592]
52	1	0	[1.598 1.591 1.593 1.583]
53	2	0	[1.598 1.593 1.591 1.583]
54	3	1	[1.578 1.595 1.588 1.59 ]
55	1	1	[1.617 1.63  1.588 1.607]
56	2	3	[1.602  1.587  1.6045 1.616 ]
57	2	1	[1.582 1.584 1.582 1.582]
58	0	0	[1.575 1.571 1.571 1.572]
59	1	0	[1.615 1.61  1.597 1.6  ]
60	3	3	[1.604 1.6   1.6   1.607]
61	3	0	[1.621 1.619 1.582 1.61 ]
62	1	3	[1.59  1.576 1.579 1.594]
63	3	2	[1.59  1.592 1.606 1.599]
64	2	0	[1.587 1.577 1.576 1.586]
65	3	1	[1.574 1.587 1.579 1.58 ]
66	0	2	[1.586 1.581 1.593 1.581]
67	0	1	[1.59   1.629  1.6    1.6045]
68	3	3	[1.584  1.6045 1.602  1.606 ]
69	2	0	[1.614 1.581 1.596 1.603]
70	0	0	[1.592 1.587 1.587 1.587]
71	3	0	[1.588 1.588 1.579 1.581]
72	1	1	[1.594 1.599 1.599 1.599]
73	2	2	[1.599 1.599 1.605 1.594]
74	0	3	[1.605 1.604 1.575 1.61 ]
75	1	2	[1.571 1.567 1.577 1.564]
76	1	3	[1.586 1.587 1.587 1.589]
77	0	0	[1.59  1.582 1.579 1.58 ]
78	0	1	[1.606 1.615 1.615 1.606]
79	1	1	[1.586 1.598 1.586 1.586]
80	3	1	[1.601 1.605 1.599 1.604]
81	1	3	[1.574 1.581 1.578 1.585]
82	0	2	[1.58  1.58  1.59  1.588]
83	1	0	[1.587 1.587 1.584 1.583]
84	1	2	[1.593 1.59  1.598 1.585]
85	0	1	[1.581 1.607 1.605 1.604]
86	0	3	[1.596 1.584 1.593 1.608]
87	3	2	[1.586 1.586 1.593 1.591]
88	3	2	[1.593 1.581 1.597 1.585]
89	3	0	[1.605 1.593 1.598 1.599]
90	3	3	[1.6    1.6045 1.606  1.633 ]
91	2	3	[1.591 1.597 1.587 1.599]
92	0	2	[1.581 1.576 1.586 1.583]
93	2	3	[1.575 1.574 1.574 1.584]
94	1	3	[1.58  1.579 1.579 1.584]
95	2	2	[1.587 1.587 1.6   1.59 ]
96	0	2	[1.581 1.577 1.584 1.584]
97	1	2	[1.576 1.576 1.588 1.576]
98	0	2	[1.579 1.572 1.582 1.582]
99	2	2	[1.58  1.613 1.615 1.613]
100	0	0	[1.615 1.58  1.613 1.613]
101	2	0	[1.595 1.581 1.586 1.59 ]
102	1	1	[1.593 1.606 1.595 1.6  ]
103	1	0	[1.597 1.586 1.589 1.581]
104	3	2	[1.581 1.594 1.596 1.596]
105	3	3	[1.596 1.581 1.594 1.599]
106	1	2	[1.584 1.606 1.628 1.611]
107	1	3	[1.584 1.606 1.611 1.628]
108	1	1	[1.585 1.591 1.583 1.585]
109	1	3	[1.593 1.593 1.583 1.601]
110	2	1	[1.556 1.57  1.561 1.559]
111	2	2	[1.58  1.577 1.599 1.575]
112	0	3	[1.58  1.585 1.583 1.594]
113	3	0	[1.585 1.581 1.579 1.583]
114	2	2	[1.599 1.599 1.606 1.597]
115	3	2	[1.578 1.578 1.591 1.58 ]
116	0	0	[1.601 1.581 1.587 1.58 ]
117	1	3	[1.568 1.566 1.568 1.578]
118	0	0	[1.588 1.566 1.573 1.563]
119	1	3	[1.58   1.585  1.582  1.6045]
120	0	3	[1.59   1.582  1.58   1.6045]
121	1	2	[1.578 1.577 1.582 1.578]
122	0	2	[1.583 1.585 1.586 1.585]
123	3	2	[1.581 1.576 1.607 1.579]
124	2	0	[1.599 1.597 1.599 1.583]
125	2	1	[1.573 1.583 1.572 1.578]
126	2	0	[1.599 1.584 1.586 1.583]
127	1	0	[1.605 1.601 1.586 1.588]
128	2	2	[1.581 1.594 1.597 1.59 ]
129	3	1	[1.581 1.594 1.59  1.592]
130	1	2	[1.582 1.598 1.603 1.592]
131	1	3	[1.582 1.598 1.592 1.603]
132	2	2	[1.582 1.589 1.594 1.579]
133	2	0	[1.611 1.604 1.609 1.604]
134	2	0	[1.597 1.597 1.595 1.576]
135	1	1	[1.58  1.598 1.583 1.576]
136	2	1	[1.588 1.591 1.586 1.588]
137	3	1	[1.598 1.603 1.588 1.596]
138	3	0	[1.595 1.586 1.595 1.59 ]
